Model,Scaling method,Number of Features,Accuracy,F1-Score
vgg16,KnnImpute,11.0,0.17566238020768754,0.7499447718799541
vgg16,KnnImpute,2.0,0.09223586398277134,0.8687023369386632
vgg16,KnnImpute,10.5,0.17213515141224775,0.7549657786546118
vgg16,KnnImpute,1.0,0.07974091551773213,0.8864888839789546
vgg16,Standardization,2.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,12.0,0.18305653245954165,0.7394192033096905
vgg16,KnnImpute,9.0,0.15942930046301781,0.7730525451769179
vgg16,Standardization,1.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,MinMax,1.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,15.5,0.21250285928126342,0.6975023855938116
vgg16,KnnImpute,7.0,0.23060973887728098,0.6717272600229796
vgg16,KnnImpute,16.5,0.305464525973946,0.5651715430777592
vgg16,Standardization,13.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,Standardization,14.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,9.5,0.26296363382422155,0.6256715218964438
vgg16,MinMax,19.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,MinMax,1.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,19.5,0.32930051229961826,0.5312410396251399
vgg16,KnnImpute,10.5,0.26791092619330986,0.6186290559998397
vgg16,KnnImpute,6.0,0.21652466673249485,0.691777346581568
vgg16,MinMax,11.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,Standardization,13.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,MinMax,3.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,18.5,0.32098042897362716,0.5430846701827967
vgg16,KnnImpute,10.0,0.2653904356899198,0.6222169717906565
vgg16,KnnImpute,8.5,0.25530144625200984,0.63657863848568
vgg16,KnnImpute,5.5,0.21035223251616605,0.7005638007113324
vgg16,Standardization,5.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,MinMax,12.5,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,18.0,0.31696092026716927,0.5488064369340812
vgg16,KnnImpute,15.5,0.2982687063002559,0.575414785415065
vgg16,KnnImpute,5.0,0.20467024880083212,0.7086520990278664
vgg16,KnnImpute,16.0,0.30181977181825514,0.5703598470889266
vgg16,Standardization,5.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,MinMax,15.0,0.7024943412657091,-1.4519618174446691e-08
vgg16,KnnImpute,11.5,0.27323297311316513,0.6110531273631188
vgg16,KnnImpute,17.5,0.31303510019840314,0.5543948380003364
vgg16,KnnImpute,4.5,0.1991925233048312,0.716449635966977
vgg16,Standardization,2.5,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,8.5,0.23908609437173511,0.6596611761848444
vgg16,MinMax,6.0,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,10.0,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,9.5,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,13.5,0.702494341265709,-1.4519618174446691e-08
vgg16,MinMax,7.0,0.702494341265709,-1.4519618174446691e-08
vgg16,MinMax,4.5,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,17.5,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,19.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,19.5,0.30736932540743256,0.5624600629287355
vgg16,KnnImpute,16.5,0.284455130872088,0.5950783966604558
vgg16,KnnImpute,13.0,0.26307235215671065,0.6255167614554248
vgg16,KnnImpute,14.0,0.2685937561586289,0.6176570482054378
vgg16,KnnImpute,1.0,0.10112641418217928,0.8560466473391186
vgg16,KnnImpute,16.0,0.28104767139126324,0.5999289119317395
vgg16,KnnImpute,4.0,0.1932060815035665,0.7249713300740064
vgg16,MinMax,1.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,11.5,0.2556721881718318,0.6360508877218275
vgg16,KnnImpute,2.0,0.15142635213599526,0.7844447343706459
vgg16,KnnImpute,14.5,0.27153084656318777,0.6134761028587288
vgg16,MinMax,5.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,11.0,0.2534406513816718,0.6392274781816744
vgg16,KnnImpute,12.5,0.2604880385593512,0.6291955293587027
vgg16,KnnImpute,0.5,0.07240733558266406,0.8969282279149294
vgg16,KnnImpute,18.5,0.2992608914860518,0.5740024107638837
vgg16,Standardization,0.5,0.4502399501295716,0.35908386698792427
vgg16,KnnImpute,3.0,0.1766727026854638,0.7485065788112022
vgg16,MinMax,6.5,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,10.5,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,7.5,0.2257090711200607,0.6787033558297393
vgg16,KnnImpute,5.5,0.2045590392170506,0.7088104057626878
vgg16,KnnImpute,3.5,0.18842005280384835,0.7317842372934245
vgg16,KnnImpute,1.5,0.12963340345123536,0.8154669757198361
vgg16,KnnImpute,15.0,0.27458552923681306,0.6091277650308762
vgg16,MinMax,9.0,0.702494341265709,-1.4519618174446691e-08
vgg16,Standardization,18.0,0.702494341265709,-1.4519618174446691e-08
vgg16,KnnImpute,8.0,0.23225149239741846,0.6693902254768833
vgg16,KnnImpute,2.5,0.16515892817261354,0.7648964256806889
vgg16,KnnImpute,12.0,0.25802131723105826,0.632706904780837
vgg16,KnnImpute,1.5,0.13018181909819607,0.813536710441052
vgg16,KnnImpute,6.0,0.18556928344898194,0.7342035986845917
vgg16,Standardization,18.5,0.6981923510737713,-4.166040966957496e-05
vgg16,Standardization,14.0,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,11.0,0.22769655796546512,0.6738634510287111
vgg16,MinMax,8.5,0.6981923510737713,-4.166040966957496e-05
vgg16,Standardization,9.5,0.6981923510737713,-4.166040966957496e-05
vgg16,MinMax,8.0,0.6981923510737713,-4.166040966957496e-05
vgg16,Standardization,5.0,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,3.0,0.1535281989629756,0.7800969965160537
vgg16,KnnImpute,18.0,0.27774794520952556,0.6021733611439124
vgg16,KnnImpute,14.5,0.25007407458343106,0.6418114687346353
vgg16,MinMax,10.5,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,9.0,0.21415090551596017,0.6932652917193204
vgg16,KnnImpute,16.5,0.26523918179734685,0.6200900348415669
vgg16,MinMax,13.5,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,3.5,0.16580658079052393,0.7625103052108836
vgg16,KnnImpute,12.0,0.23354968985548308,0.6654798362198576
vgg16,KnnImpute,15.0,0.25370321810094687,0.6366133385867758
vgg16,KnnImpute,5.5,0.18161504174477625,0.7398673766298147
vgg16,KnnImpute,11.5,0.2305690794818197,0.669749053066087
vgg16,Standardization,10.0,0.6981923510737713,-4.166040966957496e-05
vgg16,MinMax,7.5,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,17.5,0.27347026854815726,0.6083004045934023
vgg16,KnnImpute,2.5,0.1425797840466146,0.7957787366768747
vgg16,KnnImpute,7.0,0.1941724379701001,0.721881044708129
vgg16,KnnImpute,16.0,0.2612857717079048,0.6257526216402416
vgg16,KnnImpute,19.0,0.28662756510418846,0.5894548175941177
vgg16,Standardization,4.0,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,1.0,0.12778860281152854,0.8169645852743379
vgg16,KnnImpute,13.0,0.23983517717473601,0.6564769458765838
vgg16,Standardization,15.5,0.6981923510737713,-4.166040966957496e-05
vgg16,MinMax,1.0,0.6981923510737713,-4.166040966957496e-05
vgg16,Standardization,17.0,0.6981923510737713,-4.166040966957496e-05
vgg16,KnnImpute,6.5,0.18975508219075654,0.7282081547106966
vgg16,MinMax,18.5,0.6981923510737711,-4.1660409669352916e-05
vgg16,Standardization,13.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,KnnImpute,6.5,0.15006499226558417,0.7850574504234544
vgg16,MinMax,14.5,0.6981923510737711,-4.1660409669352916e-05
vgg16,MinMax,17.5,0.6981923510737711,-4.1660409669352916e-05
vgg16,Standardization,14.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,Standardization,0.5,0.4087706182270551,0.4145056915192721
vgg16,KnnImpute,14.0,0.19893355861048204,0.715061550075603
vgg16,Standardization,3.5,0.6981923510737711,-4.1660409669352916e-05
vgg16,MinMax,8.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,KnnImpute,12.5,0.1897701954750155,0.7281865075043624
vgg16,KnnImpute,19.0,0.2389974353642505,0.6576768683762562
vgg16,KnnImpute,5.0,0.14285168864159092,0.7953892796422697
vgg16,KnnImpute,9.5,0.17539765366807888,0.7487727264035117
vgg16,KnnImpute,10.5,0.17960269583128055,0.7427497195050352
vgg16,KnnImpute,18.0,0.2298130498019423,0.6708319368519388
vgg16,Standardization,10.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,MinMax,3.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,KnnImpute,4.0,0.14017983414873267,0.7992162562616807
vgg16,MinMax,4.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,KnnImpute,16.5,0.21713485603181246,0.6889912906881377
vgg16,KnnImpute,4.5,0.1413063293194959,0.7976027437399795
vgg16,Standardization,4.5,0.6981923510737711,-4.1660409669352916e-05
vgg16,MinMax,16.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,Standardization,9.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,KnnImpute,2.0,0.12007565193183665,0.8280120741110788
vgg16,MinMax,2.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,Standardization,2.0,0.6981923510737711,-4.1660409669352916e-05
vgg16,KnnImpute,2.5,0.1258761613681455,0.8197038320070409
vgg16,Standardization,13.5,0.701521580493067,-3.7992217142068796e-05
vgg16,MinMax,17.0,0.701521580493067,-3.7992217142068796e-05
vgg16,MinMax,9.5,0.701521580493067,-3.7992217142068796e-05
vgg16,Standardization,12.0,0.701521580493067,-3.7992217142068796e-05
vgg16,Standardization,10.5,0.701521580493067,-3.7992217142068796e-05
vgg16,KnnImpute,13.5,0.19804034490983968,0.7176881304742931
vgg16,MinMax,2.0,0.701521580493067,-3.7992217142068796e-05
vgg16,MinMax,5.0,0.701521580493067,-3.7992217142068796e-05
