Pretrained model,Lower Bound,Upper Bound,Scaling,Alpha,Features,Mean Square Error,R2-Square,,,,,,,
resnet101,0,340.csv,KnnImpute,19.0,11,0.4384845505044348,0.3719455429781553,,,,,,,
resnet101,0,340.csv,KnnImpute,12.0,14,0.3700649833632119,0.4699449229816608,,,,,,,
resnet101,0,340.csv,Standardization,4.0,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,MinMax,14.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,13,0.4237937385447716,0.39298762967863754,,,,,,,
resnet101,0,340.csv,KnnImpute,5.0,31,0.27726805406507055,0.6028607234963912,,,,,,,
resnet101,0,340.csv,KnnImpute,18.0,12,0.43232954504712795,0.3807615402715794,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,64,0.1926532625561123,0.7240570048158579,,,,,,,
resnet101,0,340.csv,KnnImpute,7.5,25,0.31591852002880905,0.5475005120896917,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,47,0.24999701575089928,0.6419218423912871,,,,,,,
resnet101,0,340.csv,Standardization,6.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,2.5,53,0.22447009813696414,0.6784848053577537,,,,,,,
resnet101,0,340.csv,Standardization,15.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,60,0.2058838046328959,0.7051065060797457,,,,,,,
resnet101,0,340.csv,MinMax,13.0,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,12.5,14,0.3756912332826809,0.4618862779640057,,,,,,,
resnet101,0,340.csv,KnnImpute,17.5,13,0.428827034721442,0.3857782899342105,,,,,,,
resnet101,0,340.csv,KnnImpute,0.5,98,0.08549232127570225,0.8775468067082897,,,,,,,
resnet101,0,340.csv,Standardization,0.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,10.0,17,0.3487003405134503,0.5005461360666745,,,,,,,
resnet101,0,340.csv,MinMax,5.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,MinMax,17.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,MinMax,5.5,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,MinMax,2.5,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,MinMax,13.5,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,39,0.3082640227930126,0.5605612956196857,,,,,,,
resnet101,0,340.csv,MinMax,10.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,8.5,19,0.34996825031624684,0.5011107910037209,,,,,,,
resnet101,0,340.csv,Standardization,5.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
