Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,39.csv,MinMax,19.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,17.5,14,0.6687977561098448,0.04536452569655158
resnet50,0,39.csv,KnnImpute,1.5,83,0.2340045716911243,0.6659841286177375
resnet50,0,39.csv,Standardization,1.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,16.0,18,0.6688566505028503,0.04528046040732636
resnet50,0,39.csv,KnnImpute,10.5,26,0.6792831637770552,0.03039775580205384
resnet50,0,39.csv,Standardization,0.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,3.0,60,0.45026936415041674,0.3572898472173599
resnet50,0,39.csv,KnnImpute,2.0,70,0.3112843933819332,0.555675655600411
resnet50,0,39.csv,KnnImpute,2.5,67,0.3868231893467814,0.447852305932398
resnet50,0,39.csv,MinMax,11.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,7.5,36,0.6864913612499374,0.020108844168403528
resnet50,0,39.csv,KnnImpute,6.5,42,0.6640616254767296,0.05212483293742154
resnet50,0,39.csv,Standardization,4.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,1.0,93,0.10300634515327872,0.8529697352251366
resnet50,0,39.csv,Standardization,11.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,14.0,20,0.5433585172531832,0.22441528683954326
resnet50,0,39.csv,Standardization,7.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,9.5,27,0.4826415565421596,0.3110820916502818
resnet50,0,39.csv,MinMax,15.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,19.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,3.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,MinMax,1.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,MinMax,8.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,5.5,36,0.3963235067369597,0.4342916444096092
resnet50,0,39.csv,KnnImpute,4.0,50,0.31940506420109943,0.5440842883024566
resnet50,0,39.csv,KnnImpute,12.0,23,0.5154530916907994,0.26424722246435484
resnet50,0,39.csv,KnnImpute,2.5,68,0.22126325752041462,0.6841709577233765
resnet50,0,39.csv,KnnImpute,16.0,19,0.5687896270725391,0.18811516567036202
resnet50,0,39.csv,KnnImpute,19.0,14,0.5719998599037913,0.1835329102523524
resnet50,0,39.csv,KnnImpute,18.0,15,0.571761050256868,0.18387378484183226
resnet50,0,39.csv,KnnImpute,11.0,25,0.5009747571330067,0.28491345773717847
resnet50,0,39.csv,KnnImpute,17.0,16,0.5721586460719527,0.18330626040556275
resnet50,0,39.csv,KnnImpute,16.5,16,0.5723860997182392,0.18298159526199576
resnet50,0,39.csv,Standardization,6.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,MinMax,3.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,13.5,20,0.5376069398513513,0.23262503301591797
resnet50,0,39.csv,Standardization,1.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,7.0,35,0.42911487783294716,0.38748555719819067
resnet50,0,39.csv,KnnImpute,17.5,15,0.5718606283055754,0.18373164809437814
resnet50,0,39.csv,KnnImpute,8.5,29,0.4673233123181157,0.3329472058895624
resnet50,0,39.csv,KnnImpute,10.0,27,0.48876681224435703,0.3023389606677419
resnet50,0,39.csv,KnnImpute,6.5,36,0.41401679544151154,0.4090364145585038
resnet50,0,39.csv,Standardization,5.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,9.0,29,0.4760932579060456,0.32042907004137045
resnet50,0,39.csv,MinMax,12.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,0.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,13.0,23,0.5318244417726556,0.24087891506857817
resnet50,0,39.csv,KnnImpute,15.5,19,0.5618443022637677,0.19802885539560677
resnet50,0,39.csv,KnnImpute,14.5,19,0.5495869622170885,0.21552486449890063
resnet50,0,39.csv,KnnImpute,10.5,23,0.4943705477269617,0.2943402426226581
resnet50,0,39.csv,MinMax,2.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,18.5,14,0.5718720886314883,0.18371528973557139
resnet50,0,39.csv,Standardization,1.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,17.5,14,0.6451298454548674,0.07914787336402662
resnet50,0,39.csv,MinMax,1.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,2.5,57,0.39295136159688177,0.43910501189747764
resnet50,0,39.csv,Standardization,15.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,MinMax,14.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,Standardization,10.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,MinMax,2.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,12.0,20,0.5604355663632854,0.20003967144909907
resnet50,0,39.csv,Standardization,11.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,8.0,31,0.528354592371516,0.24583174467746582
resnet50,0,39.csv,KnnImpute,5.5,41,0.45543334750310766,0.3499188271262257
resnet50,0,39.csv,KnnImpute,7.0,35,0.49773667676795813,0.28953546245666373
resnet50,0,39.csv,KnnImpute,16.0,17,0.6229968197526528,0.11074034103602304
resnet50,0,39.csv,KnnImpute,6.5,35,0.4810901122493619,0.31329660828820416
resnet50,0,39.csv,MinMax,3.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,5.0,42,0.44986135004746347,0.3578722426173697
resnet50,0,39.csv,KnnImpute,19.5,14,0.6577999981290127,0.061062619493059245
resnet50,0,39.csv,KnnImpute,4.5,47,0.4399644592675716,0.3719989691763024
resnet50,0,39.csv,KnnImpute,6.0,34,0.466208008668955,0.33453917957425583
resnet50,0,39.csv,KnnImpute,19.0,14,0.6545273785615955,0.06573392513727694
resnet50,0,39.csv,Standardization,9.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,MinMax,10.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,11.5,22,0.5533184602533412,0.21019856014880733
resnet50,0,39.csv,Standardization,0.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,8.5,30,0.5333624660038242,0.2386835540973451
resnet50,0,39.csv,KnnImpute,15.0,18,0.6064901258862428,0.13430183684605668
resnet50,0,39.csv,KnnImpute,13.5,20,0.5844120623964512,0.1658158519855113
resnet50,0,39.csv,KnnImpute,9.0,28,0.5366287634157713,0.23402127263694195
resnet50,0,39.csv,MinMax,18.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,13.0,22,0.5755785328041383,0.178424747029032
resnet50,0,39.csv,Standardization,4.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,18.0,14,0.6482078060339144,0.07475442208458882
resnet50,0,39.csv,KnnImpute,3.0,59,0.40251286726598473,0.4254570108148005
resnet50,0,39.csv,KnnImpute,17.0,15,0.640336281195274,0.08599016081005284
resnet50,0,39.csv,MinMax,7.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,12.5,20,0.5680474864139418,0.18917449009713783
resnet50,0,39.csv,Standardization,14.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,39.csv,KnnImpute,16.5,16,0.6317709709794642,0.09821620209940607
resnet50,0,85.csv,KnnImpute,14.5,18,0.571141286237519,0.18698093211508737
resnet50,0,85.csv,KnnImpute,19.5,14,0.6274702535820327,0.10679670164726773
resnet50,0,85.csv,KnnImpute,11.0,22,0.5335086495408768,0.24055095401056592
resnet50,0,85.csv,Standardization,10.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,10.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,19.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,17.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,18.5,14,0.6231281003195225,0.11297775261165455
resnet50,0,85.csv,Standardization,6.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,17.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,11.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,12.0,22,0.5453592477969053,0.22368163886883397
resnet50,0,85.csv,KnnImpute,16.0,16,0.5914178932439206,0.15811720167666554
resnet50,0,85.csv,MinMax,2.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,3.0,55,0.45623201515917294,0.35055416822080276
resnet50,0,85.csv,MinMax,3.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,15.0,17,0.5774772457157035,0.17796169993342403
resnet50,0,85.csv,KnnImpute,12.5,19,0.5499364877116689,0.21716594228261454
resnet50,0,85.csv,KnnImpute,15.5,16,0.5846388374549334,0.16776718102767707
resnet50,0,85.csv,KnnImpute,4.5,48,0.4426964039546813,0.3698220976629617
resnet50,0,85.csv,MinMax,4.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,5.5,40,0.43877225574895656,0.37540811883379654
resnet50,0,85.csv,KnnImpute,18.0,16,0.6193669995456821,0.11833167592109162
resnet50,0,85.csv,KnnImpute,16.5,16,0.5991000358454763,0.14718167912248203
resnet50,0,85.csv,Standardization,5.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,14.0,18,0.5651042689124056,0.19557462043133989
resnet50,0,85.csv,Standardization,8.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,1.5,76,0.4645517623549324,0.3387110161442053
resnet50,0,85.csv,KnnImpute,3.5,52,0.4523824000801561,0.3560340915579443
resnet50,0,85.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,5.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,7.5,33,0.4739505632251865,0.3253318322068842
resnet50,0,85.csv,KnnImpute,13.0,19,0.5544469856155164,0.21074525288430357
resnet50,0,85.csv,KnnImpute,6.0,40,0.44548405171107763,0.36585388378119676
resnet50,0,85.csv,KnnImpute,12.5,23,0.5259206915404417,0.25135240487625954
resnet50,0,85.csv,Standardization,14.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,2.5,66,0.2572713985452711,0.6337744133038588
resnet50,0,85.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,9.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,10.0,31,0.4878934825171822,0.305484100096587
resnet50,0,85.csv,Standardization,7.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,2.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,16.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,17.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,15.0,17,0.569640895286517,0.18911673718091027
resnet50,0,85.csv,KnnImpute,10.5,29,0.4935324386816559,0.29745705145703594
resnet50,0,85.csv,KnnImpute,4.5,40,0.3487485478415247,0.5035567798640659
resnet50,0,85.csv,KnnImpute,14.5,18,0.5586281335803384,0.20479339280526399
resnet50,0,85.csv,KnnImpute,12.0,24,0.5167885507384499,0.264351998464634
resnet50,0,85.csv,MinMax,5.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,4.0,49,0.32821185462891117,0.5327907427651717
resnet50,0,85.csv,KnnImpute,8.5,33,0.4722241394240311,0.32778939481601765
resnet50,0,85.csv,KnnImpute,7.5,34,0.44965067102927747,0.35992270521655456
resnet50,0,85.csv,KnnImpute,18.0,13,0.616177421694586,0.12287203690344595
resnet50,0,85.csv,KnnImpute,18.5,13,0.6198913964012499,0.1175851975049994
resnet50,0,85.csv,Standardization,11.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,13.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,1.5,85,0.18391285214214242,0.7382002330707398
resnet50,0,85.csv,KnnImpute,11.0,28,0.4992215876756004,0.2893585533733384
resnet50,0,85.csv,KnnImpute,13.5,20,0.5391905409449832,0.23246278709897483
resnet50,0,85.csv,KnnImpute,6.5,35,0.4199257159045869,0.4022361500518953
resnet50,0,85.csv,KnnImpute,3.5,55,0.30428165715725614,0.5668553556928665
resnet50,0,85.csv,Standardization,1.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,15.5,16,0.5766871338320995,0.17908642343461634
resnet50,0,85.csv,KnnImpute,6.0,37,0.4087054464209302,0.4182081927965454
resnet50,0,85.csv,Standardization,9.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,19.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,3.0,60,0.2818968506559882,0.5987201060707206
resnet50,0,85.csv,KnnImpute,17.5,14,0.6111437122070076,0.1300375174845373
resnet50,0,85.csv,KnnImpute,0.5,111,0.05197425859398456,0.9260146932216037
resnet50,0,85.csv,KnnImpute,19.0,13,0.6237590189721329,0.11207964052062425
resnet50,0,85.csv,MinMax,0.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,0.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,10.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,5.5,44,0.3530686918690136,0.49740705902441895
resnet50,0,85.csv,KnnImpute,15.0,19,0.5120405626033536,0.27111075497714987
resnet50,0,85.csv,MinMax,6.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,14.5,20,0.5050622656258688,0.2810443539670493
resnet50,0,85.csv,MinMax,10.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,13.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,10.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,9.5,32,0.4523362767179598,0.3560997481193665
resnet50,0,85.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,5.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,12.5,22,0.48087219575189166,0.3154788950077979
resnet50,0,85.csv,Standardization,9.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,18.5,13,0.5525222863023412,0.2134850604927938
resnet50,0,85.csv,KnnImpute,4.0,53,0.30702105033470584,0.5629558321575039
resnet50,0,85.csv,Standardization,4.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,2.0,71,0.22970699726346808,0.6730123118360574
resnet50,0,85.csv,KnnImpute,18.0,16,0.5477204699535377,0.22032044141539664
resnet50,0,85.csv,Standardization,2.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,19.5,14,0.563958038076062,0.19720627891690323
resnet50,0,85.csv,Standardization,0.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,6.0,43,0.36785741296969343,0.47635532885850607
resnet50,0,85.csv,KnnImpute,7.0,41,0.4059284093791643,0.422161302336309
resnet50,0,85.csv,KnnImpute,8.0,38,0.43162537208271895,0.3855817008118817
resnet50,0,85.csv,KnnImpute,16.0,18,0.5227034921975303,0.2559320850254653
resnet50,0,85.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,1.5,85,0.18964503373000105,0.7300404781312767
resnet50,0,85.csv,MinMax,1.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,3.0,59,0.27624271702276837,0.6067687598223342
resnet50,0,85.csv,KnnImpute,3.5,55,0.2893416873050794,0.5881223883100709
resnet50,0,85.csv,KnnImpute,6.0,45,0.3697221308302477,0.4737009047897378
resnet50,0,85.csv,KnnImpute,5.5,45,0.354770795051783,0.4949841167920068
resnet50,0,85.csv,MinMax,17.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,11.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,2.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,16.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,18.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,10.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,11.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,15.0,21,0.4914790331946806,0.30038007217929574
resnet50,0,85.csv,KnnImpute,7.5,34,0.4156283625786898,0.4083534283498961
resnet50,0,85.csv,KnnImpute,3.5,56,0.2942216358338683,0.5811757863049196
resnet50,0,85.csv,Standardization,3.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,17.0,14,0.5192595700240233,0.2608345049044729
resnet50,0,85.csv,KnnImpute,8.0,32,0.43054209566409757,0.3871237437447803
resnet50,0,85.csv,KnnImpute,5.0,46,0.34058482478335167,0.5151778317318978
resnet50,0,85.csv,KnnImpute,12.5,22,0.4738249047864292,0.32551070687277184
resnet50,0,85.csv,KnnImpute,19.5,15,0.5450457865711118,0.22412785062020557
resnet50,0,85.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,4.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,4.0,50,0.31134296574181614,0.5568035897606813
resnet50,0,85.csv,KnnImpute,7.0,34,0.39934777760500206,0.4315288252943643
resnet50,0,85.csv,KnnImpute,6.5,41,0.38456645780777216,0.4525700197119835
resnet50,0,85.csv,KnnImpute,16.0,19,0.5022741730727988,0.28501320101644845
resnet50,0,85.csv,KnnImpute,14.5,21,0.48684219844789045,0.30698060195119525
resnet50,0,85.csv,KnnImpute,13.0,22,0.4767709463040665,0.3213170196252636
resnet50,0,85.csv,MinMax,14.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,10.5,26,0.4577513233831253,0.3483914344352541
resnet50,0,85.csv,Standardization,1.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,11.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,KnnImpute,3.0,60,0.2760875230856745,0.6069896782415027
resnet50,0,85.csv,KnnImpute,8.5,30,0.4375877898440446,0.3770942049024413
resnet50,0,85.csv,KnnImpute,18.0,15,0.5291839046086447,0.24670722423365932
resnet50,0,85.csv,Standardization,3.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,MinMax,3.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,85.csv,Standardization,17.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,MinMax,13.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,MinMax,0.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,12.0,21,0.5479565392324682,0.215145559123328
resnet50,0,85.csv,MinMax,6.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,18.0,19,0.6207677291584534,0.11085592725038829
resnet50,0,85.csv,Standardization,19.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,MinMax,8.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,Standardization,6.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,8.0,31,0.4653616980250938,0.3334486055764514
resnet50,0,85.csv,KnnImpute,11.5,21,0.5393436508595779,0.22748205518505338
resnet50,0,85.csv,KnnImpute,17.0,17,0.6099985071547486,0.12628100407533804
resnet50,0,85.csv,KnnImpute,2.5,70,0.20622864534996105,0.7046125804692168
resnet50,0,85.csv,Standardization,7.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,9.0,30,0.48513097818858547,0.30513247789416276
resnet50,0,85.csv,KnnImpute,2.0,78,0.17331756496535106,0.751752099289617
resnet50,0,85.csv,KnnImpute,14.5,16,0.5844927183953109,0.16281370355538627
resnet50,0,85.csv,MinMax,2.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,Standardization,3.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,5.0,51,0.3412777361112825,0.5111777530121939
resnet50,0,85.csv,Standardization,14.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,5.5,50,0.3622679768137149,0.4811128072530829
resnet50,0,85.csv,KnnImpute,11.0,23,0.5310258997539947,0.23939581736492999
resnet50,0,85.csv,KnnImpute,15.0,17,0.5905407449227926,0.15415093536343638
resnet50,0,85.csv,KnnImpute,9.5,31,0.4960018109851468,0.28956186090990366
resnet50,0,85.csv,MinMax,16.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,4.5,55,0.3190584041775692,0.5430031626804767
resnet50,0,85.csv,MinMax,10.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,16.0,16,0.6001870369664755,0.1403342645028559
resnet50,0,85.csv,KnnImpute,19.5,19,0.6356516221666029,0.08953728482421686
resnet50,0,85.csv,Standardization,15.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,12.5,21,0.5573283260774587,0.20172207021936617
resnet50,0,85.csv,KnnImpute,13.0,20,0.5667010521757776,0.18829723599493986
resnet50,0,85.csv,KnnImpute,8.5,31,0.4750390040702882,0.3195875124395169
resnet50,0,85.csv,KnnImpute,10.5,25,0.5225059557766347,0.2515991864058724
resnet50,0,85.csv,MinMax,1.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,85.csv,KnnImpute,1.5,82,0.14223560346366523,0.7962717167576849
resnet50,0,85.csv,KnnImpute,3.5,55,0.26636578490718293,0.6184763677155228
resnet50,0,85.csv,Standardization,18.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,11.0,23,0.4764097034632479,0.3176242189506241
resnet50,0,85.csv,MinMax,17.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,Standardization,13.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,MinMax,19.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,1.0,91,0.20620524658559558,0.7046460952150195
resnet50,0,85.csv,MinMax,9.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,9.0,28,0.47265440308969325,0.32300304731379803
resnet50,0,85.csv,Standardization,5.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,19.5,16,0.5518266539704725,0.2096022787327344
resnet50,0,85.csv,KnnImpute,12.5,21,0.4888004145112609,0.2998766351636426
resnet50,0,85.csv,KnnImpute,3.5,51,0.37311639043575817,0.46557430191896654
resnet50,0,85.csv,KnnImpute,14.5,17,0.506773677632031,0.2741329960839076
resnet50,0,85.csv,KnnImpute,13.0,20,0.49618662698442123,0.2892971434599052
resnet50,0,85.csv,Standardization,11.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,MinMax,1.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,7.0,36,0.46060714618862436,0.3402586915158552
resnet50,0,85.csv,KnnImpute,8.5,32,0.47340815103709744,0.3219234317211992
resnet50,0,85.csv,KnnImpute,7.5,34,0.4678902142303014,0.3298269366476243
resnet50,0,85.csv,KnnImpute,10.0,27,0.47333378373610235,0.3220299502172167
resnet50,0,85.csv,KnnImpute,16.0,16,0.5181624796902442,0.2578204763279168
resnet50,0,85.csv,Standardization,16.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,MinMax,4.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,18.5,16,0.5415273123401483,0.22435433193021714
resnet50,0,85.csv,Standardization,8.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,17.5,16,0.5317352038465647,0.23837986002684386
resnet50,0,85.csv,KnnImpute,12.0,22,0.48383995970583016,0.30698164204660394
resnet50,0,85.csv,KnnImpute,5.5,40,0.42355342014650094,0.39333184486470185
resnet50,0,85.csv,KnnImpute,6.5,38,0.44814091252063204,0.3581144485965808
resnet50,0,85.csv,MinMax,15.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,15.0,18,0.5105799639375034,0.26868113905473057
resnet50,0,85.csv,KnnImpute,4.5,46,0.41339565647227483,0.40788111174681474
resnet50,0,85.csv,Standardization,2.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,MinMax,10.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,85.csv,KnnImpute,14.0,16,0.5045143154359139,0.2773691477240636
resnet50,0,85.csv,KnnImpute,18.0,16,0.5365628438973173,0.2314650876653448
resnet50,0,85.csv,KnnImpute,2.0,70,0.29406155874468326,0.5788068875039614
resnet50,0,85.csv,KnnImpute,3.0,55,0.3442561160427409,0.5069117308946417
resnet50,0,85.csv,KnnImpute,0.5,110,0.1278335774911372,0.8169001667037205
resnet50,0,85.csv,Standardization,19.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,MinMax,13.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,14.5,19,0.49251187220827797,0.2979110015687685
resnet50,0,85.csv,KnnImpute,9.5,29,0.45318233600255226,0.35397631946584784
resnet50,0,85.csv,KnnImpute,15.5,17,0.5017137626062236,0.2847934578551512
resnet50,0,85.csv,Standardization,19.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,Standardization,16.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,11.0,24,0.4695756666854366,0.3306071830661653
resnet50,0,85.csv,Standardization,10.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,MinMax,9.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,17.5,17,0.5199792253075419,0.2587555466138389
resnet50,0,85.csv,KnnImpute,2.0,82,0.21287603066099942,0.6965394590658861
resnet50,0,85.csv,MinMax,2.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,85.csv,KnnImpute,0.5,111,0.08070107926926355,0.8849584281848214
