Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,153.csv,KnnImpute,9.0,34,0.4443054417339715,0.3675316339422807
resnet50,0,153.csv,Standardization,8.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,4.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,15.0,19,0.5120405626033536,0.27111075497714987
resnet50,0,153.csv,KnnImpute,19.5,14,0.563958038076062,0.19720627891690323
resnet50,0,153.csv,MinMax,11.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,16.5,18,0.529136105993484,0.246775265516054
resnet50,0,153.csv,KnnImpute,5.5,44,0.3530686918690136,0.49740705902441895
resnet50,0,153.csv,Standardization,18.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,3.5,55,0.2893416873050794,0.5881223883100709
resnet50,0,153.csv,KnnImpute,12.0,23,0.4744104254368834,0.3246772187938489
resnet50,0,153.csv,KnnImpute,14.0,20,0.4994398936837387,0.2890477949821537
resnet50,0,153.csv,Standardization,9.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,12.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,6.0,45,0.3697221308302477,0.4737009047897378
resnet50,0,153.csv,MinMax,16.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,13.5,21,0.4793864739231709,0.3175938185922582
resnet50,0,153.csv,KnnImpute,11.0,24,0.4608700953168806,0.34395186560766833
resnet50,0,153.csv,KnnImpute,8.0,32,0.43054209566409757,0.3871237437447803
resnet50,0,153.csv,KnnImpute,15.0,21,0.4914790331946806,0.30038007217929574
resnet50,0,153.csv,Standardization,14.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,10.5,26,0.4577513233831253,0.3483914344352541
resnet50,0,153.csv,Standardization,6.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,7.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,2.0,74,0.23016534700376157,0.6723598514246002
