Pretrained model,Lower Bound,Upper bound,Scaling,Number of features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet50,0,153,Standardization,1083,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1548,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1735,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1055,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1675,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1187,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1810,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1521,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1470,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1603,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1520,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1078,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1774,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1818,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1522,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1182,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1625,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1664,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1326,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1527,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1602,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1123,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1541,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1388,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1636,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1432,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1738,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,Standardization,1747,0.45714285714285713,0.341637898274967,0.14773940904236382
