Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,MinMax,1568,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1721,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1477,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1701,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1649,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1409,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1787,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1519,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1708,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1375,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1297,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1476,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1171,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1788,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1175,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,Standardization,1691,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1116,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1237,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1880,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1173,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1184,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1729,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,Standardization,1552,0.6476190476190476,0.6363461135554159,0.46313825744489734
resnet101,0,340,MinMax,1192,0.4238095238095238,0.3308873276086391,0.11308900523560217
