Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,MinMax,1490,0.4238095238095238,0.3308873276086391,0.11308900523560217
resnet101,0,340,MinMax,1241,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1035,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1494,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1036,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1754,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1859,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1704,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1447,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1508,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1181,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1792,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1513,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1191,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1388,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1735,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1098,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1379,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1199,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1538,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1770,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1302,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1575,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1322,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1084,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1808,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1466,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1559,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1844,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1096,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1114,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1344,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1369,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1349,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1858,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1244,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1255,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1435,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1837,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1103,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1849,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1503,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1202,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1325,0.580952380952381,0.4586259865458975,0.34860768417342247
