Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
vgg19,0,11,Standardization,364,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,347,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,378,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,269,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,498,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,427,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,442,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,457,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,492,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,377,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,433,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,368,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,395,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,272,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,387,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,403,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,MinMax,322,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,464,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,266,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,Standardization,332,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,358,0.6523809523809524,0.6025303577123015,0.4793683138053999
vgg19,0,11,Standardization,313,0.7523809523809524,0.7300176536671481,0.6209123099354301
vgg19,0,11,MinMax,479,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,479,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,387,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,507,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,433,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,297,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,291,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,465,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,481,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,324,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,397,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,265,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,272,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,MinMax,480,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,360,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,410,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,490,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,267,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,308,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,482,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,Standardization,357,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,356,0.6571428571428571,0.6596491228070175,0.49254933548127267
vgg19,0,11,Standardization,437,0.6285714285714286,0.6179894936779279,0.4450091482008538
vgg19,0,11,MinMax,376,0.6571428571428571,0.6596491228070175,0.49254933548127267
